,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
102,03/11/12,Rennes,Reims,1,0,H,1.62,3.6,6.0,-2,-1,4,3,13,16,15,15,-3.8000000000000003,20,False
103,03/11/12,Troyes,Montpellier,1,1,D,3.5,3.2,2.15,-200,-200,0,0,-200,-200,11,12,-200.0,20,False
104,03/11/12,Valenciennes,Sochaux,3,1,H,1.57,3.75,6.0,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
105,04/11/12,Ajaccio,Marseille,0,2,A,3.6,3.2,2.1,-200,-200,4,6,-200,-200,19,22,-200.0,20,False
106,04/11/12,Bordeaux,Toulouse,1,0,H,2.1,3.2,3.6,2,3,8,7,15,18,19,19,-4.9,20,False
107,04/11/12,Lyon,Bastia,5,2,H,1.53,4.0,6.0,6,9,-200,-200,18,21,-200,-200,-200.0,20,False
108,07/11/12,Sochaux,Evian Thonon Gaillard,2,1,H,2.5,3.2,2.88,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
109,09/11/12,Nancy,Rennes,1,3,A,3.25,3.1,2.3,-200,-200,-1,1,-200,-200,16,19,-200.0,20,False
110,10/11/12,Bastia,Valenciennes,2,3,A,2.3,3.4,3.0,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
111,10/11/12,Lille,Brest,1,0,H,1.33,4.75,10.0,3,4,-200,-200,17,20,-200,-200,-200.0,20,False
112,10/11/12,Reims,Evian Thonon Gaillard,1,2,A,2.2,3.1,3.5,3,2,-200,-200,15,15,-200,-200,-200.0,20,False
113,10/11/12,St Etienne,Troyes,2,0,H,1.4,4.33,8.5,11,13,-200,-200,18,21,-200,-200,-200.0,20,False
114,10/11/12,Toulouse,Ajaccio,2,4,A,1.57,3.6,6.5,7,5,-200,-200,19,19,-200,-200,-200.0,20,False
115,11/11/12,Lorient,Bordeaux,0,4,A,2.4,3.1,3.1,-200,-200,3,7,-200,-200,18,21,-200.0,20,False
116,11/11/12,Marseille,Nice,2,2,D,1.4,4.33,8.5,6,6,-2,-2,22,23,12,13,9.1,20,False
117,11/11/12,Montpellier,Paris SG,1,1,D,3.25,3.25,2.25,0,0,10,10,12,13,22,23,-10.0,20,False
118,11/11/12,Sochaux,Lyon,1,1,D,4.5,3.4,1.83,-200,-200,9,9,-200,-200,21,22,-200.0,20,False
119,16/11/12,Lorient,Lille,2,0,H,3.1,3.1,2.4,-200,-200,4,2,-200,-200,20,20,-200.0,20,False
120,17/11/12,Ajaccio,Sochaux,0,1,A,1.83,3.25,4.75,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
