,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
186,13/01/2019,Dijon,Montpellier,1,1,D,3.25,3.3,2.3
187,13/01/2019,Marseille,Monaco,1,1,D,1.57,4.0,6.0
188,13/01/2019,Nantes,Rennes,0,1,A,2.55,3.3,2.8
189,13/01/2019,Toulouse,Strasbourg,1,2,A,2.5,3.2,3.0
190,15/01/2019,Angers,Bordeaux,1,2,A,2.5,3.0,3.0
191,16/01/2019,Guingamp,Rennes,2,1,H,2.87,3.2,2.55
192,16/01/2019,Monaco,Nice,1,1,D,2.3,3.2,3.3
193,16/01/2019,Nimes,Nantes,1,0,H,2.37,3.25,3.1
194,16/01/2019,St Etienne,Marseille,2,1,H,2.25,3.5,3.1
195,16/01/2019,Toulouse,Lyon,2,2,D,5.25,3.75,1.66
196,18/01/2019,Lille,Amiens,2,1,H,1.65,3.6,5.75
197,19/01/2019,Monaco,Strasbourg,1,5,A,1.9,3.5,4.0
198,19/01/2019,Nimes,Toulouse,0,1,A,1.95,3.6,3.8
199,19/01/2019,Paris SG,Guingamp,9,0,H,1.1,10.0,26.0
200,19/01/2019,Reims,Nice,1,1,D,2.25,3.0,3.7
201,20/01/2019,Angers,Nantes,1,0,H,2.45,3.1,3.1
202,20/01/2019,Bordeaux,Dijon,1,0,H,1.66,3.6,5.75
203,20/01/2019,Caen,Marseille,0,1,A,4.33,3.6,1.85
204,20/01/2019,Rennes,Montpellier,0,0,D,2.05,3.4,3.8
205,20/01/2019,St Etienne,Lyon,1,2,A,3.1,3.5,2.25
206,23/01/2019,Nimes,Angers,3,1,H,2.05,3.4,3.8
207,25/01/2019,Marseille,Lille,1,2,A,2.3,3.25,3.2
208,26/01/2019,Dijon,Monaco,2,0,H,2.9,3.3,2.37
209,26/01/2019,Guingamp,Reims,0,1,A,2.5,3.1,3.1
210,26/01/2019,Nice,Nimes,2,0,H,2.1,3.2,3.75
211,26/01/2019,Strasbourg,Bordeaux,1,0,H,2.4,3.2,3.1
212,27/01/2019,Amiens,Lyon,0,1,A,6.5,4.2,1.53
213,27/01/2019,Montpellier,Caen,2,0,H,1.72,3.5,5.5
214,27/01/2019,Paris SG,Rennes,4,1,H,1.22,6.5,12.0
215,27/01/2019,Toulouse,Angers,0,0,D,2.2,3.2,3.5
216,30/01/2019,Nantes,St Etienne,1,1,D,2.75,3.1,2.75
217,01/02/2019,Lille,Nice,4,0,H,1.8,3.6,4.75
218,02/02/2019,Angers,Dijon,1,0,H,2.0,3.3,4.0
219,02/02/2019,Monaco,Toulouse,2,1,H,1.72,3.6,5.25
220,02/02/2019,Reims,Marseille,2,1,H,2.7,3.25,2.7
221,02/02/2019,Rennes,Amiens,1,0,H,1.6,3.75,6.5
222,03/02/2019,Lyon,Paris SG,2,1,H,3.8,3.8,1.85
223,03/02/2019,Nimes,Montpellier,1,1,D,2.6,3.1,2.9
224,05/02/2019,Marseille,Bordeaux,1,0,H,2.25,3.2,3.4
225,08/02/2019,Dijon,Marseille,1,2,A,4.33,3.5,1.85
226,09/02/2019,Amiens,Caen,1,0,H,2.1,3.1,4.0
227,09/02/2019,Paris SG,Bordeaux,1,0,H,1.25,6.5,11.0
228,09/02/2019,Strasbourg,Angers,1,2,A,2.05,3.2,4.0
229,10/02/2019,Guingamp,Lille,0,2,A,3.4,3.3,2.2
230,10/02/2019,Montpellier,Monaco,2,2,D,2.45,3.1,3.1
231,10/02/2019,Nantes,Nimes,2,4,A,1.9,3.3,4.2
232,10/02/2019,Nice,Lyon,1,0,H,4.75,4.0,1.7
233,10/02/2019,Rennes,St Etienne,3,0,H,2.15,3.4,3.4
234,10/02/2019,Toulouse,Reims,1,1,D,2.75,3.0,2.8
235,13/02/2019,Caen,Nantes,0,1,A,3.0,3.1,2.5
236,13/02/2019,St Etienne,Strasbourg,2,1,H,1.95,3.3,4.0
237,15/02/2019,Lyon,Guingamp,2,1,H,1.3,5.25,10.0
238,15/02/2019,Nimes,Dijon,2,0,H,1.75,3.8,4.5
239,16/02/2019,Angers,Nice,3,0,H,2.4,3.0,3.3
240,16/02/2019,Marseille,Amiens,2,0,H,1.4,4.5,9.0
241,16/02/2019,Monaco,Nantes,1,0,H,1.8,3.6,4.5
242,17/02/2019,Bordeaux,Toulouse,2,1,H,1.83,3.5,4.75
243,17/02/2019,Caen,Strasbourg,0,0,D,3.5,3.1,2.3
244,17/02/2019,Lille,Montpellier,0,0,D,1.85,3.3,4.75
245,17/02/2019,Reims,Rennes,2,0,H,2.5,3.1,3.1
246,17/02/2019,St Etienne,Paris SG,0,1,A,5.25,4.33,1.6
247,20/02/2019,Bordeaux,Guingamp,0,0,D,1.9,3.4,4.33
248,20/02/2019,Paris SG,Montpellier,5,1,H,1.25,6.0,12.0
249,22/02/2019,Dijon,St Etienne,0,1,A,3.5,3.3,2.15
250,22/02/2019,Strasbourg,Lille,1,1,D,2.75,3.1,2.7
251,23/02/2019,Amiens,Nice,1,0,H,2.7,2.9,3.0
252,23/02/2019,Guingamp,Angers,1,0,H,2.5,3.2,3.0
253,23/02/2019,Paris SG,Nimes,3,0,H,1.25,6.5,11.0
254,24/02/2019,Monaco,Lyon,2,0,H,3.4,3.5,2.1
255,24/02/2019,Montpellier,Reims,2,4,A,2.2,3.2,3.5
256,24/02/2019,Nantes,Bordeaux,1,0,H,1.95,3.4,4.2
257,24/02/2019,Rennes,Marseille,1,1,D,2.9,3.3,2.45
258,24/02/2019,Toulouse,Caen,1,1,D,1.85,3.5,4.5
259,02/03/2019,Angers,Monaco,2,2,D,3.3,3.3,2.25
260,02/03/2019,Caen,Paris SG,1,2,A,12.0,6.0,1.22
261,02/03/2019,Reims,Amiens,2,2,D,1.75,3.4,5.25
262,03/03/2019,Guingamp,Nantes,0,0,D,2.8,3.0,2.8
263,03/03/2019,Lille,Dijon,1,0,H,1.53,3.8,7.5
264,03/03/2019,Lyon,Toulouse,5,1,H,1.28,5.5,10.0
265,03/03/2019,Marseille,St Etienne,2,0,H,1.75,3.75,4.5
266,03/03/2019,Nice,Strasbourg,1,0,H,2.3,2.9,3.6
267,05/03/2019,Bordeaux,Montpellier,1,2,A,2.5,2.9,3.3
268,09/03/2019,Amiens,Nimes,2,1,H,2.45,3.2,3.1
269,09/03/2019,Dijon,Reims,1,1,D,3.1,3.1,2.45
270,09/03/2019,Monaco,Bordeaux,1,1,D,1.61,4.0,5.25
271,09/03/2019,Strasbourg,Lyon,2,2,D,4.75,3.8,1.75
272,10/03/2019,Marseille,Nice,1,0,H,1.5,4.5,6.0
273,10/03/2019,Montpellier,Angers,2,2,D,2.1,3.1,4.0
274,10/03/2019,Rennes,Caen,3,1,H,1.61,3.6,6.5
275,10/03/2019,St Etienne,Lille,0,1,A,2.45,3.3,3.0
276,10/03/2019,Toulouse,Guingamp,1,0,H,2.15,3.2,3.5
277,12/03/2019,Dijon,Paris SG,0,4,A,13.0,7.0,1.2
278,15/03/2019,Lille,Monaco,0,1,A,2.1,3.2,3.8
279,15/03/2019,Nice,Toulouse,1,1,D,2.05,3.1,4.0
280,16/03/2019,Angers,Amiens,0,0,D,2.1,3.1,4.0
281,16/03/2019,Caen,St Etienne,0,5,A,3.7,3.1,2.2
282,16/03/2019,Guingamp,Dijon,1,0,H,2.1,3.1,4.0
283,16/03/2019,Nimes,Strasbourg,2,2,D,2.37,3.2,3.2
284,17/03/2019,Bordeaux,Rennes,1,1,D,2.62,3.0,2.9
285,17/03/2019,Lyon,Montpellier,3,2,H,1.4,4.33,8.5
286,17/03/2019,Paris SG,Marseille,3,1,H,1.28,6.0,9.5
287,17/03/2019,Reims,Nantes,1,0,H,2.15,3.0,4.0
288,29/03/2019,Rennes,Lyon,0,1,A,4.0,3.6,1.9
289,30/03/2019,Marseille,Angers,2,2,D,1.53,3.75,7.5
290,31/03/2019,Amiens,Bordeaux,0,0,D,2.5,3.1,3.1
291,31/03/2019,Dijon,Nice,0,1,A,2.4,3.1,3.2
292,31/03/2019,Monaco,Caen,0,1,A,1.36,4.75,9.5
293,31/03/2019,Nantes,Lille,2,3,A,3.0,3.1,2.55
294,31/03/2019,Toulouse,Paris SG,0,1,A,10.0,6.5,1.25
295,01/04/2019,St Etienne,Nimes,2,1,H,1.75,3.75,4.75
296,03/04/2019,Montpellier,Guingamp,2,0,H,1.75,3.4,5.25
297,03/04/2019,Strasbourg,Reims,4,0,H,2.62,3.1,2.9
298,05/04/2019,Bordeaux,Marseille,2,0,H,3.6,3.4,2.1
299,06/04/2019,Amiens,St Etienne,2,2,D,3.0,3.1,2.55
300,06/04/2019,Angers,Rennes,3,3,D,2.7,3.2,2.7
301,06/04/2019,Guingamp,Monaco,1,1,D,3.75,3.4,2.05
302,06/04/2019,Lyon,Dijon,1,3,A,1.22,7.0,11.0
303,06/04/2019,Nimes,Caen,2,0,H,1.65,3.8,5.5
304,07/04/2019,Nice,Montpellier,1,0,H,2.62,3.0,3.0
305,07/04/2019,Paris SG,Strasbourg,2,2,D,1.1,11.0,21.0
306,07/04/2019,Reims,Lille,1,1,D,2.9,3.1,2.62
307,07/04/2019,Toulouse,Nantes,1,0,H,2.4,3.1,3.2
308,09/04/2019,Nimes,Rennes,3,1,H,2.7,3.25,2.7
309,12/04/2019,Dijon,Amiens,0,0,D,2.3,3.1,3.4
310,12/04/2019,Nantes,Lyon,2,1,H,3.75,4.0,1.83
311,13/04/2019,Caen,Angers,0,1,A,3.1,3.0,2.55
312,13/04/2019,Marseille,Nimes,2,1,H,1.57,4.33,5.5
313,13/04/2019,Monaco,Reims,0,0,D,1.9,3.4,4.0
314,13/04/2019,Strasbourg,Guingamp,3,3,D,2.0,3.25,4.2
315,14/04/2019,Lille,Paris SG,5,1,H,4.33,4.0,1.72
316,14/04/2019,Montpellier,Toulouse,2,1,H,1.85,3.4,4.75
317,14/04/2019,Rennes,Nice,0,0,D,1.8,3.6,4.5
318,14/04/2019,St Etienne,Bordeaux,3,0,H,1.72,3.6,5.25
319,17/04/2019,Nantes,Paris SG,3,2,H,4.5,4.2,1.7
320,19/04/2019,Dijon,Rennes,3,2,H,2.87,3.3,2.5
321,19/04/2019,Lyon,Angers,2,1,H,1.3,5.5,10.0
322,20/04/2019,Guingamp,Marseille,1,3,A,4.0,3.6,1.9
323,20/04/2019,Nice,Caen,0,1,A,1.83,3.3,5.0
324,20/04/2019,Nimes,Bordeaux,2,1,H,2.15,3.4,3.4
325,20/04/2019,Strasbourg,Montpellier,1,3,A,2.6,3.1,3.0
326,21/04/2019,Nantes,Amiens,3,2,H,1.95,3.25,4.33
327,21/04/2019,Paris SG,Monaco,3,1,H,1.5,4.5,6.5
328,21/04/2019,Reims,St Etienne,0,2,A,2.5,3.1,3.1
329,21/04/2019,Toulouse,Lille,0,0,D,3.75,3.1,2.15
330,26/04/2019,Bordeaux,Lyon,2,3,A,5.25,3.75,1.7
331,28/04/2019,Amiens,Strasbourg,0,0,D,2.1,3.1,3.75
332,28/04/2019,Angers,Reims,1,1,D,2.5,3.1,2.9
333,28/04/2019,Caen,Dijon,1,0,H,2.8,3.1,2.62
334,28/04/2019,Lille,Nimes,5,0,H,1.5,4.0,6.5
335,28/04/2019,Marseille,Nantes,1,2,A,1.5,3.8,7.5
336,28/04/2019,Nice,Guingamp,3,0,H,2.0,3.2,4.0
337,28/04/2019,St Etienne,Toulouse,2,0,H,1.5,4.0,6.5
338,30/04/2019,Montpellier,Paris SG,3,2,H,4.33,3.6,1.83
339,01/05/2019,Rennes,Monaco,2,2,D,3.5,3.3,2.15
340,03/05/2019,Strasbourg,Marseille,1,1,D,3.8,3.5,2.0
341,04/05/2019,Bordeaux,Angers,0,1,A,2.25,3.1,3.5
342,04/05/2019,Guingamp,Caen,0,0,D,1.9,3.3,4.5
343,04/05/2019,Paris SG,Nice,1,1,D,1.25,6.0,11.0
344,04/05/2019,Reims,Nimes,0,3,A,1.95,3.5,4.0
345,05/05/2019,Lyon,Lille,2,2,D,1.66,4.0,5.0
346,05/05/2019,Monaco,St Etienne,2,3,A,2.4,3.5,2.87
347,05/05/2019,Montpellier,Amiens,1,1,D,1.72,3.75,5.0
348,05/05/2019,Nantes,Dijon,3,0,H,1.9,3.5,4.2
349,05/05/2019,Toulouse,Rennes,2,2,D,2.3,3.3,3.25
350,10/05/2019,St Etienne,Montpellier,0,1,A,1.75,3.8,4.75
351,11/05/2019,Amiens,Toulouse,0,0,D,2.3,3.2,3.3
352,11/05/2019,Angers,Paris SG,1,2,A,6.0,4.33,1.53
353,11/05/2019,Caen,Reims,3,2,H,2.4,3.1,3.1
354,11/05/2019,Dijon,Strasbourg,2,1,H,2.05,3.5,3.6
355,11/05/2019,Nice,Nantes,1,1,D,2.5,3.1,3.1
356,11/05/2019,Nimes,Monaco,1,0,H,3.4,3.8,2.05
357,12/05/2019,Lille,Bordeaux,1,0,H,1.4,4.75,8.0
358,12/05/2019,Marseille,Lyon,0,3,A,3.0,3.8,2.2
359,12/05/2019,Rennes,Guingamp,1,1,D,1.95,3.5,4.0
360,18/05/2019,Bordeaux,Reims,0,1,A,2.37,3.1,3.3
361,18/05/2019,Guingamp,Nimes,2,2,D,2.8,3.4,2.5
362,18/05/2019,Lille,Angers,5,0,H,1.53,4.0,7.0
363,18/05/2019,Lyon,Caen,4,0,H,1.2,7.0,13.0
364,18/05/2019,Monaco,Amiens,2,0,H,1.61,3.8,6.0
365,18/05/2019,Montpellier,Nantes,1,1,D,1.8,3.8,4.33
366,18/05/2019,Paris SG,Dijon,4,0,H,1.3,5.5,10.0
367,18/05/2019,St Etienne,Nice,3,0,H,1.57,4.0,6.0
