,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG
96,19/10/13,Rennes,Valenciennes,2.0,2.0,D,1.8,3.4,4.75,-1.0,-1.0,-10.0,-10.0,12.0,13.0,4.0,5.0
97,20/10/13,Lyon,Bordeaux,1.0,1.0,D,2.1,3.3,3.5,1.0,1.0,-1.0,-1.0,11.0,12.0,10.0,11.0
98,20/10/13,Sochaux,Monaco,2.0,2.0,D,8.0,4.0,1.44,-11.0,-11.0,11.0,11.0,5.0,6.0,21.0,22.0
99,20/10/13,St Etienne,Lorient,3.0,2.0,H,1.6,3.75,5.75,1.0,2.0,-8.0,-9.0,13.0,16.0,7.0,7.0
100,25/10/13,Nantes,Lille,0.0,1.0,A,2.8,3.1,2.63,7.0,6.0,8.0,9.0,19.0,19.0,20.0,23.0
101,26/10/13,Bastia,Nice,1.0,0.0,H,2.38,3.1,3.1,-4.0,-3.0,2.0,1.0,12.0,15.0,17.0,17.0
102,26/10/13,Guingamp,Ajaccio,2.0,1.0,H,1.75,3.4,5.0,3.0,4.0,-7.0,-8.0,14.0,17.0,7.0,7.0
103,26/10/13,Lorient,Sochaux,2.0,1.0,H,1.75,3.4,5.0,-9.0,-8.0,-11.0,-12.0,7.0,10.0,6.0,6.0
104,26/10/13,Marseille,Reims,2.0,3.0,A,1.57,3.6,6.5,5.0,4.0,0.0,1.0,17.0,17.0,12.0,15.0
105,26/10/13,Toulouse,Rennes,0.0,5.0,A,2.0,3.2,4.0,-2.0,-7.0,-1.0,4.0,15.0,15.0,13.0,16.0
106,26/10/13,Valenciennes,Evian Thonon Gaillard,0.0,1.0,A,2.0,3.3,3.8,-10.0,-11.0,-8.0,-7.0,5.0,5.0,9.0,12.0
107,27/10/13,Bordeaux,Montpellier,2.0,0.0,H,2.1,3.2,3.6,-1.0,1.0,1.0,-1.0,11.0,14.0,12.0,12.0
108,27/10/13,Monaco,Lyon,2.0,1.0,H,1.4,4.33,8.5,11.0,12.0,1.0,0.0,22.0,25.0,12.0,12.0
109,27/10/13,St Etienne,Paris SG,2.0,2.0,D,5.0,3.5,1.73,2.0,2.0,13.0,13.0,16.0,17.0,24.0,25.0
110,01/11/13,Paris SG,Lorient,4.0,0.0,H,1.18,6.5,15.0,13.0,17.0,-8.0,-12.0,25.0,28.0,10.0,10.0
111,02/11/13,Ajaccio,Valenciennes,1.0,3.0,A,2.5,3.1,2.9,-8.0,-10.0,-11.0,-9.0,7.0,7.0,5.0,8.0
112,02/11/13,Evian Thonon Gaillard,Toulouse,2.0,1.0,H,2.6,3.1,2.8,-7.0,-6.0,-7.0,-8.0,12.0,15.0,15.0,15.0
113,02/11/13,Lyon,Guingamp,2.0,0.0,H,1.8,3.5,4.5,0.0,2.0,4.0,2.0,12.0,15.0,17.0,17.0
114,02/11/13,Reims,Bastia,4.0,2.0,H,2.1,3.25,3.5,1.0,3.0,-3.0,-5.0,15.0,18.0,15.0,15.0
115,02/11/13,Rennes,Marseille,1.0,1.0,D,2.5,3.1,2.9,4.0,4.0,4.0,4.0,16.0,17.0,17.0,18.0
116,02/11/13,Sochaux,St Etienne,0.0,0.0,D,4.2,3.25,1.91,-12.0,-12.0,2.0,2.0,6.0,7.0,17.0,18.0
117,03/11/13,Lille,Monaco,2.0,0.0,H,3.1,3.1,2.4,9.0,11.0,12.0,10.0,23.0,26.0,25.0,25.0
118,03/11/13,Montpellier,Nantes,1.0,1.0,D,2.2,3.1,3.5,-1.0,-1.0,6.0,6.0,12.0,13.0,19.0,20.0
119,03/11/13,Nice,Bordeaux,1.0,2.0,A,2.38,3.1,3.1,1.0,0.0,1.0,2.0,17.0,17.0,14.0,17.0
120,08/11/13,Monaco,Evian Thonon Gaillard,1.0,1.0,D,1.29,5.0,11.0,10.0,10.0,-6.0,-6.0,25.0,26.0,15.0,16.0
121,09/11/13,Bastia,Rennes,1.0,0.0,H,2.38,3.2,3.0,-5.0,-4.0,4.0,3.0,15.0,18.0,17.0,17.0
122,09/11/13,Guingamp,Lille,0.0,0.0,D,3.25,3.1,2.3,2.0,2.0,11.0,11.0,17.0,18.0,26.0,27.0
123,09/11/13,Lorient,Reims,0.0,0.0,D,1.91,3.3,4.2,-12.0,-12.0,3.0,3.0,10.0,11.0,18.0,19.0
124,09/11/13,Paris SG,Nice,3.0,1.0,H,1.22,5.5,15.0,17.0,19.0,0.0,-2.0,28.0,31.0,17.0,17.0
125,09/11/13,Toulouse,Ajaccio,1.0,1.0,D,1.57,3.8,6.0,-8.0,-8.0,-10.0,-10.0,15.0,16.0,7.0,8.0
126,09/11/13,Valenciennes,Montpellier,1.0,1.0,D,2.6,3.1,2.8,-9.0,-9.0,-1.0,-1.0,8.0,9.0,13.0,14.0
127,10/11/13,Bordeaux,Nantes,0.0,3.0,A,2.15,3.2,3.5,2.0,-1.0,6.0,9.0,17.0,17.0,20.0,23.0
128,10/11/13,Marseille,Sochaux,2.0,1.0,H,1.44,4.2,7.5,4.0,5.0,-12.0,-13.0,18.0,21.0,7.0,7.0
129,10/11/13,St Etienne,Lyon,1.0,2.0,A,2.05,3.2,3.75,2.0,1.0,2.0,3.0,18.0,18.0,15.0,18.0
130,22/11/13,Ajaccio,Marseille,1.0,3.0,A,4.2,3.3,1.91,-10.0,-12.0,5.0,7.0,8.0,8.0,21.0,24.0
131,23/11/13,Evian Thonon Gaillard,Lorient,0.0,4.0,A,2.1,3.2,3.6,-6.0,-10.0,-12.0,-8.0,16.0,16.0,11.0,14.0
132,23/11/13,Lyon,Valenciennes,1.0,1.0,D,1.57,3.8,6.0,3.0,3.0,-9.0,-9.0,18.0,19.0,9.0,10.0
133,23/11/13,Montpellier,Guingamp,1.0,1.0,D,1.91,3.3,4.2,-1.0,-1.0,2.0,2.0,14.0,15.0,18.0,19.0
134,23/11/13,Reims,Paris SG,0.0,3.0,A,7.0,4.33,1.44,3.0,0.0,19.0,22.0,19.0,19.0,31.0,34.0
135,23/11/13,Rennes,Bordeaux,1.0,1.0,D,2.4,3.1,3.1,3.0,3.0,-1.0,-1.0,17.0,18.0,17.0,18.0
136,23/11/13,Sochaux,Bastia,1.0,1.0,D,2.4,3.1,3.1,-13.0,-13.0,-4.0,-4.0,7.0,8.0,18.0,19.0
137,24/11/13,Lille,Toulouse,1.0,0.0,H,1.62,3.5,6.25,11.0,12.0,-8.0,-9.0,27.0,30.0,16.0,16.0
138,24/11/13,Nantes,Monaco,0.0,1.0,A,3.4,3.1,2.25,9.0,8.0,10.0,11.0,23.0,23.0,26.0,29.0
139,24/11/13,Nice,St Etienne,0.0,1.0,A,2.8,3.2,2.55,-2.0,-3.0,1.0,2.0,17.0,17.0,18.0,21.0
140,29/11/13,Marseille,Montpellier,2.0,0.0,H,1.85,3.3,4.5,7.0,9.0,-1.0,-3.0,24.0,27.0,15.0,15.0
141,30/11/13,Guingamp,Nantes,1.0,0.0,H,2.5,2.88,3.2,2.0,3.0,8.0,7.0,19.0,22.0,23.0,23.0
